00:00:00.000 prev=<HOME>, next=SOCIAL
00:00:40.845 prev=SOCIAL, next=BUSINESS
00:01:19.674 prev=BUSINESS, next=COMICS
00:01:43.990 prev=COMICS, next=SOCIAL
00:02:15.670 prev=SOCIAL, next=GAMES
00:06:06.555 prev=GAMES, next=GAMES
00:10:05.350 prev=GAMES, next=GAMES
00:10:45.907 prev=<HOME>, next=COMICS
00:11:30.515 prev=COMICS, next=COMICS
00:11:58.720 prev=<HOME>, next=TOOLS
00:12:22.774 prev=<HOME>, next=GAMES
00:13:18.239 prev=<HOME>, next=COMMUNICATION
00:13:45.334 prev=<HOME>, next=TOOLS
00:14:35.227 prev=TOOLS, next=BUSINESS
00:15:12.323 prev=<HOME>, next=GAMES
00:27:56.808 prev=<HOME>, next=GAMES
00:32:58.516 prev=GAMES, next=COMMUNICATION
00:33:45.768 prev=COMMUNICATION, next=COMICS
00:43:32.667 prev=COMICS, next=GAMES
00:49:30.644 prev=GAMES, next=SOCIAL
00:49:55.205 prev=<HOME>, next=COMMUNICATION
00:54:22.558 prev=COMMUNICATION, next=COMMUNICATION
00:54:42.611 prev=COMMUNICATION, next=COMICS
00:55:09.709 prev=COMICS, next=GAMES
00:55:53.756 prev=GAMES, next=COMMUNICATION
00:56:32.064 prev=COMMUNICATION, next=TOOLS
00:56:56.876 prev=<HOME>, next=BUSINESS
00:57:38.946 prev=BUSINESS, next=GAMES
00:58:16.097 prev=GAMES, next=GAMES
00:59:04.653 prev=<HOME>, next=SOCIAL
06:49:37.800 prev=SOCIAL, next=COMMUNICATION
06:50:25.202 prev=COMMUNICATION, next=GAMES
06:50:58.553 prev=<HOME>, next=COMICS
06:54:49.305 prev=<HOME>, next=BUSINESS
06:55:12.552 prev=BUSINESS, next=BUSINESS
07:00:21.667 prev=<HOME>, next=COMMUNICATION
07:17:26.582 prev=<HOME>, next=SOCIAL
07:30:49.384 prev=SOCIAL, next=GAMES
07:31:17.249 prev=GAMES, next=TOOLS
07:31:50.697 prev=TOOLS, next=HEALTH_AND_FITNESS
07:34:09.601 prev=HEALTH_AND_FITNESS, next=GAMES
07:34:53.010 prev=GAMES, next=TOOLS
07:35:14.964 prev=TOOLS, next=SOCIAL
07:36:02.212 prev=<HOME>, next=SOCIAL
07:36:34.962 prev=SOCIAL, next=SOCIAL
07:41:43.680 prev=SOCIAL, next=COMMUNICATION
07:42:30.598 prev=COMMUNICATION, next=COMMUNICATION
07:43:03.366 prev=<HOME>, next=COMICS
07:43:40.334 prev=COMICS, next=HEALTH_AND_FITNESS
07:44:28.391 prev=HEALTH_AND_FITNESS, next=SOCIAL
07:45:07.447 prev=SOCIAL, next=GAMES
07:45:28.316 prev=<HOME>, next=SOCIAL
07:46:04.873 prev=SOCIAL, next=SOCIAL
07:52:59.984 prev=SOCIAL, next=TOOLS
07:53:46.157 prev=<HOME>, next=SOCIAL
07:54:22.033 prev=SOCIAL, next=COMICS
07:55:07.208 prev=COMICS, next=BUSINESS
07:55:54.648 prev=BUSINESS, next=HEALTH_AND_FITNESS
07:56:22.067 prev=HEALTH_AND_FITNESS, next=SOCIAL
08:06:39.607 prev=SOCIAL, next=BUSINESS
08:07:15.247 prev=BUSINESS, next=SOCIAL
08:07:41.967 prev=SOCIAL, next=HEALTH_AND_FITNESS
08:08:29.058 prev=HEALTH_AND_FITNESS, next=NEWS_AND_MAGAZINES
08:08:54.419 prev=NEWS_AND_MAGAZINES, next=SOCIAL
08:09:15.593 prev=<HOME>, next=TOOLS
08:30:47.094 prev=<HOME>, next=SOCIAL
08:31:12.298 prev=SOCIAL, next=GAMES
08:31:43.721 prev=<HOME>, next=COMMUNICATION
08:32:32.673 prev=COMMUNICATION, next=BUSINESS
08:33:04.433 prev=BUSINESS, next=COMICS
08:33:28.558 prev=COMICS, next=COMMUNICATION
08:33:55.320 prev=COMMUNICATION, next=SOCIAL
08:39:49.334 prev=<HOME>, next=GAMES
08:46:36.142 prev=<HOME>, next=SOCIAL
08:47:25.505 prev=SOCIAL, next=SOCIAL
08:48:13.677 prev=SOCIAL, next=GAMES
08:48:49.588 prev=GAMES, next=NEWS_AND_MAGAZINES
08:49:26.580 prev=NEWS_AND_MAGAZINES, next=GAMES
08:50:07.923 prev=GAMES, next=COMICS
08:51:44.439 prev=COMICS, next=GAMES
08:52:31.500 prev=GAMES, next=GAMES
09:15:05.682 prev=<HOME>, next=COMICS
09:15:46.630 prev=COMICS, next=SOCIAL
09:26:45.168 prev=SOCIAL, next=TOOLS
09:42:19.730 prev=<HOME>, next=SOCIAL
09:42:43.984 prev=SOCIAL, next=GAMES
09:51:45.576 prev=GAMES, next=BUSINESS
09:58:06.948 prev=BUSINESS, next=COMICS
09:58:30.665 prev=COMICS, next=COMMUNICATION
09:59:03.589 prev=COMMUNICATION, next=COMICS
10:16:51.164 prev=COMICS, next=GAMES
10:26:27.681 prev=GAMES, next=BUSINESS
10:26:57.418 prev=BUSINESS, next=GAMES
10:27:20.102 prev=<HOME>, next=GAMES
10:34:12.525 prev=GAMES, next=HEALTH_AND_FITNESS
10:34:34.629 prev=HEALTH_AND_FITNESS, next=SOCIAL
10:35:18.441 prev=SOCIAL, next=GAMES
10:35:42.688 prev=GAMES, next=COMICS
10:43:33.125 prev=COMICS, next=GAMES
10:44:17.072 prev=GAMES, next=NEWS_AND_MAGAZINES
10:44:51.049 prev=NEWS_AND_MAGAZINES, next=COMMUNICATION
10:45:13.167 prev=COMMUNICATION, next=COMICS
10:49:39.538 prev=COMICS, next=COMMUNICATION
10:50:05.731 prev=COMMUNICATION, next=TOOLS
10:50:42.186 prev=TOOLS, next=COMMUNICATION
10:51:10.640 prev=<HOME>, next=COMMUNICATION
10:51:50.482 prev=COMMUNICATION, next=COMMUNICATION
11:00:01.567 prev=<HOME>, next=COMMUNICATION
11:00:23.012 prev=<HOME>, next=GAMES
11:02:28.340 prev=GAMES, next=BUSINESS
11:08:53.426 prev=BUSINESS, next=COMMUNICATION
11:09:23.676 prev=COMMUNICATION, next=GAMES
11:09:51.147 prev=GAMES, next=GAMES
11:10:24.765 prev=GAMES, next=COMMUNICATION
11:10:47.131 prev=COMMUNICATION, next=GAMES
11:20:01.446 prev=<HOME>, next=COMMUNICATION
11:20:24.318 prev=COMMUNICATION, next=SOCIAL
11:20:48.846 prev=SOCIAL, next=GAMES
11:22:10.518 prev=GAMES, next=GAMES
11:22:51.673 prev=GAMES, next=GAMES
11:23:32.264 prev=GAMES, next=COMMUNICATION
11:42:00.973 prev=<HOME>, next=GAMES
11:42:40.991 prev=GAMES, next=BUSINESS
11:43:57.724 prev=BUSINESS, next=SOCIAL
11:51:33.990 prev=SOCIAL, next=GAMES
11:52:19.623 prev=GAMES, next=GAMES
11:53:09.283 prev=GAMES, next=GAMES
12:00:28.866 prev=<HOME>, next=GAMES
12:00:57.006 prev=GAMES, next=COMICS
12:01:24.583 prev=<HOME>, next=SOCIAL
12:10:16.968 prev=<HOME>, next=GAMES
12:17:03.893 prev=<HOME>, next=COMMUNICATION
12:28:44.424 prev=COMMUNICATION, next=SOCIAL
12:29:26.937 prev=SOCIAL, next=BUSINESS
12:30:03.417 prev=BUSINESS, next=TOOLS
12:30:51.848 prev=TOOLS, next=SOCIAL
12:31:19.048 prev=SOCIAL, next=GAMES
12:37:59.093 prev=<HOME>, next=SOCIAL
12:38:33.069 prev=<HOME>, next=BUSINESS
12:38:55.230 prev=<HOME>, next=COMICS
12:39:27.639 prev=COMICS, next=TOOLS
12:40:15.630 prev=TOOLS, next=GAMES
12:41:01.802 prev=GAMES, next=BUSINESS
12:41:24.406 prev=BUSINESS, next=COMMUNICATION
12:41:46.839 prev=COMMUNICATION, next=BUSINESS
12:42:28.558 prev=BUSINESS, next=GAMES
12:43:11.168 prev=GAMES, next=COMMUNICATION
12:43:36.081 prev=COMMUNICATION, next=TOOLS
12:44:09.118 prev=TOOLS, next=GAMES
12:44:37.474 prev=GAMES, next=COMMUNICATION
12:45:16.707 prev=COMMUNICATION, next=COMICS
12:45:53.351 prev=COMICS, next=GAMES
12:46:22.603 prev=<HOME>, next=SOCIAL
12:46:49.201 prev=<HOME>, next=SOCIAL
13:00:52.408 prev=SOCIAL, next=SOCIAL
13:01:29.778 prev=SOCIAL, next=GAMES
13:02:02.708 prev=GAMES, next=TOOLS
13:02:29.921 prev=TOOLS, next=COMMUNICATION
13:03:11.789 prev=<HOME>, next=NEWS_AND_MAGAZINES
13:03:40.808 prev=NEWS_AND_MAGAZINES, next=GAMES
13:04:08.293 prev=GAMES, next=COMMUNICATION
13:04:56.780 prev=<HOME>, next=GAMES
13:05:18.371 prev=GAMES, next=SOCIAL
13:13:17.332 prev=<HOME>, next=GAMES
13:13:50.897 prev=GAMES, next=BUSINESS
13:14:28.919 prev=BUSINESS, next=GAMES
13:15:08.318 prev=GAMES, next=COMICS
13:15:49.147 prev=<HOME>, next=GAMES
13:18:24.196 prev=<HOME>, next=COMMUNICATION
13:26:18.074 prev=<HOME>, next=COMMUNICATION
13:27:00.581 prev=COMMUNICATION, next=SOCIAL
13:32:45.899 prev=<HOME>, next=COMICS
13:33:35.558 prev=COMICS, next=COMICS
13:42:00.434 prev=COMICS, next=TOOLS
13:58:12.128 prev=<HOME>, next=SOCIAL
14:07:02.128 prev=SOCIAL, next=COMICS
14:07:44.225 prev=<HOME>, next=GAMES
14:08:14.194 prev=GAMES, next=HEALTH_AND_FITNESS
14:20:16.412 prev=HEALTH_AND_FITNESS, next=GAMES
14:21:00.086 prev=GAMES, next=GAMES
14:21:25.138 prev=GAMES, next=COMMUNICATION
14:22:02.924 prev=<HOME>, next=COMMUNICATION
14:22:37.416 prev=COMMUNICATION, next=BUSINESS
14:23:01.078 prev=BUSINESS, next=BUSINESS
14:23:40.947 prev=BUSINESS, next=COMICS
14:24:17.351 prev=COMICS, next=SOCIAL
14:25:02.305 prev=<HOME>, next=GAMES
14:25:26.747 prev=GAMES, next=SOCIAL
14:26:11.445 prev=SOCIAL, next=COMMUNICATION
14:26:48.545 prev=COMMUNICATION, next=COMICS
14:27:11.845 prev=COMICS, next=SOCIAL
14:28:00.685 prev=SOCIAL, next=GAMES
14:28:46.413 prev=GAMES, next=COMMUNICATION
14:30:28.704 prev=COMMUNICATION, next=SOCIAL
14:31:18.094 prev=<HOME>, next=HEALTH_AND_FITNESS
14:52:16.536 prev=<HOME>, next=BUSINESS
14:52:39.230 prev=BUSINESS, next=COMMUNICATION
14:53:01.035 prev=<HOME>, next=SOCIAL
15:03:48.057 prev=SOCIAL, next=SOCIAL
15:04:31.414 prev=<HOME>, next=COMICS
15:11:45.003 prev=<HOME>, next=HEALTH_AND_FITNESS
15:13:54.601 prev=HEALTH_AND_FITNESS, next=SOCIAL
15:14:16.210 prev=SOCIAL, next=COMICS
15:14:37.249 prev=COMICS, next=GAMES
15:14:58.320 prev=GAMES, next=GAMES
15:15:38.997 prev=GAMES, next=COMICS
15:34:46.676 prev=<HOME>, next=HEALTH_AND_FITNESS
15:47:41.388 prev=HEALTH_AND_FITNESS, next=HEALTH_AND_FITNESS
15:48:24.945 prev=HEALTH_AND_FITNESS, next=COMMUNICATION
15:49:14.137 prev=COMMUNICATION, next=GAMES
15:49:48.775 prev=GAMES, next=HEALTH_AND_FITNESS
15:50:31.261 prev=<HOME>, next=COMICS
15:51:09.359 prev=COMICS, next=BUSINESS
15:51:45.352 prev=<HOME>, next=TOOLS
15:52:22.289 prev=TOOLS, next=HEALTH_AND_FITNESS
15:52:45.518 prev=HEALTH_AND_FITNESS, next=NEWS_AND_MAGAZINES
15:53:11.847 prev=NEWS_AND_MAGAZINES, next=COMICS
15:53:57.040 prev=COMICS, next=GAMES
